Entry,Drying,Purpose,Shape,First materials,Second materials,Modification,First material class,Second materials class,Modification class,Gelation class,Solvent class,Process,Gelation mechanism,Final solvent,Drying details,Post drying treatment,Post-drying cross-linking,Envelope density g/cm3,Porosity,BET surface area m2/g,BJH pore size nm,BJH pore volume (total) cm3/g,compression elastic modulus MPa,SEM,Thermal conductivity W/(m K),Thermal method,Thermal method detail,,
27,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 100) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.073,,769,,,,Mesoporous (nanoparticulate),,,,,
28,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 150) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.064,,699,,,,Mesoporous (nanoparticulate),,,,,
29,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 200) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.062,,576,,,,Mesoporous (nanoparticulate),,,,,
30,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 300) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.063,,389,,,,Mesoporous (nanoparticulate),,,,,
31,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,,,0.08,,,,,,,0.014,Transient,Hot wire,,
32,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,,,0.157,,,,,,,0.012,Transient,Hot wire,,
33,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,,,0.3,,,,,,,0.018,Transient,Hot wire,,
34,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.1,,905,,,,,,,,,
35,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 100, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.07,,769,,,,,,,,,
36,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 150, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.061,,699,,,,,,,,,
37,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.058,,577,,,,,,,,,
38,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 300, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.065,,389,,,,,,,,,
39,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.069,,,,,,,,,,,
40,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.064,,,,,,,,,,,
41,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 300, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.061,,,,,,,,,,,
42,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R = 2%)",Chemical (polymerization),Acetone,SCD,,,0.036,,,,,,,,,,,
43,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R = 3%)",Chemical (polymerization),Acetone,SCD,,,0.042,,534,,,,,,,,,
44,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 300, R = 3%)",Chemical (polymerization),Acetone,SCD,,,0.043,,,,,,,,,,,
45,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R = 15%)",Chemical (polymerization),Acetone,SCD,,,0.207,,,,,,,,,,,
46,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R = 15%)",Chemical (polymerization),Acetone,SCD,,,0.152,,556,,,,,,,,,
47,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 300, R = 15%)",Chemical (polymerization),Acetone,SCD,,,0.148,,,,,,,,,,,
48,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R = 5%)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.207,,818,,,,,,,,,
49,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 100, R = 5%)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.136,,764,,,,,,,,,
50,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 150, R = 5%)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.099,,709,,,,,,,,,
51,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R = 5%)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.103,,683,,,,,,,,,
52,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 300, R = 5%)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.085,,586,,,,,,,,,
53,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R = 4%)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.197,,,,,,,,,,,
54,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R = 3%)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.067,,,,,,,,,,,
55,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 300, R = 3%)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.065,,,,,,,,,,,
56,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution?,Chemical (polymerization),Acetone,SCD,,,0.156,,,,,,,,,,,
57,APD,Not specific,Monolith,12-Hydroxyoctadecanoic acid,,,Q,,,pp,or,12-Hydroxyoctadecanoic acid + organic solvent (cooling),Physical (temperature),Cyclohexane,APD,,,,,,,,,,,,,,
58,APD,Not specific,Monolith,12-Hydroxyoctadecanoic acid,,,Q,,,pp,or,12-Hydroxyoctadecanoic acid + organic solvent (cooling),Physical (temperature),Benzene,APD,,,,,,,,,,,,,,
59,APD,Not specific,Monolith,12-Hydroxyoctadecanoic acid,,,Q,,,pp,or,12-Hydroxyoctadecanoic acid + organic solvent (cooling),Physical (temperature),Hexafluorobenzene,APD,,,,,,,,,,,,,,
60,APD,Not specific,Monolith,12-Hydroxyoctadecanoic acid,,,Q,,,pp,or,12-Hydroxyoctadecanoic acid + organic solvent (cooling),Physical (temperature),Octane,APD,,,,,,,,,,,,,,
61,APD,Not specific,Monolith,12-Hydroxyoctadecanoic acid,,,Q,,,pp,or,12-Hydroxyoctadecanoic acid + organic solvent (cooling),Physical (temperature),Nitrobenzene,APD,,,,,,,,,,,,,,
62,SCD,Not specific,Monolith?,Phenolic resin,,,I,,,cp,or,Phenolic novolak + furfural + catalyst (aromatic acid Q2001),Chemical (polymerization),Liquid CO2,SCD,,,,,,,,,Mesoporous (nanoparticulate),,,,,
63,SCD,Not specific,Monolith?,Phenolic resin,,Carbonized,I,,Ca,cp,or,Phenolic novolak + furfural + catalyst (aromatic acid Q2001),Chemical (polymerization),Liquid CO2,SCD,Post calcination at 1050 °C for 9.5 h,,,,,,,,Mesoporous (nanoparticulate),,,,,
